col_len,mode,secs,pcpu
390625,single_thread,0.046521329879760744,22.0
781250,single_thread,0.07952885627746582,60.0
1562500,single_thread,0.1552154541015625,69.0
3125000,single_thread,0.3123501777648926,86.0
6250000,single_thread,0.599554443359375,91.8
12500000,single_thread,1.2427236080169677,95.4
25000000,single_thread,2.4748867988586425,97.6
50000000,single_thread,5.030133008956909,98.7
100000000,single_thread,9.69515266418457,99.3
200000000,single_thread,19.2220507144928,99.6
390625,multi_thread,0.014856910705566407,18.0
781250,multi_thread,0.019877004623413085,39.5
1562500,multi_thread,0.039091968536376955,89.5
3125000,multi_thread,0.07557868957519531,184.0
6250000,multi_thread,0.14746465682983398,247.0
12500000,multi_thread,0.29783382415771487,341.0
25000000,multi_thread,0.637749195098877,432.0
50000000,multi_thread,1.2513434410095214,487.0
100000000,multi_thread,2.615910053253174,518.0
200000000,multi_thread,5.217807674407959,532.0
