col_len,idx_time,default_time,idx_maj_faults,idx_min_faults,default_maj_faults,default_min_faults
390625,0.02623128890991211,0.030573415756225585,4.0,10.2,3.8,140.4
781250,0.033014440536499025,0.04079780578613281,3.4,17.6,5.0,288.8
1562500,0.021931791305541994,0.05500435829162598,3.6,36.6,4.4,609.8
3125000,0.0419219970703125,0.09507341384887695,4.0,70.8,3.2,1246.0
6250000,0.06123671531677246,0.15332202911376952,4.0,137.6,4.2,2586.6
12500000,0.08131232261657714,0.327662992477417,4.0,274.0,7.4,5140.8
25000000,0.1285640239715576,0.6968183517456055,3.8,539.0,9.8,6008.8
50000000,0.2036966323852539,1.3911202430725098,4.0,1035.0,11.2,12057.8
100000000,0.2508537292480469,2.6453146934509277,4.0,2132.8,13.0,20190.6
200000000,0.32315497398376464,4.810071897506714,4.0,2215.8,24.4,33821.2
